F1/train,F1/val,epoch,step,val_loss
,0.4550716280937195,0,192,0.7445952296257019
0.4060732424259186,,0,192,
,0.4825836420059204,1,385,0.6587347984313965
0.5758419632911682,,1,385,
,0.6255958080291748,2,578,0.6362846493721008
0.7676389217376709,,2,578,
,0.5955065488815308,3,771,0.7075017690658569
0.9055043458938599,,3,771,
,0.7039256691932678,4,964,0.5796969532966614
0.9236011505126953,,4,964,
,0.7018114328384399,5,1157,0.6203421354293823
0.9491832852363586,,5,1157,
,0.7156352400779724,6,1350,0.6160593032836914
0.9649742841720581,,6,1350,
,0.6825424432754517,7,1543,0.7010059952735901
0.9612727761268616,,7,1543,
,0.6806722283363342,8,1736,0.6419554948806763
0.9713849425315857,,8,1736,
,0.6534879207611084,9,1929,0.8334819674491882
0.978252112865448,,9,1929,
,0.6945279836654663,10,2122,0.8178008198738098
0.9759482145309448,,10,2122,
,0.7113921642303467,11,2315,0.7033105492591858
0.9839940071105957,,11,2315,
,0.701593816280365,12,2508,0.8440873622894287
0.9773129820823669,,12,2508,
,0.7248402833938599,13,2701,0.6578752398490906
0.9740096926689148,,13,2701,
,0.7400007843971252,14,2894,0.6754838228225708
0.9815593361854553,,14,2894,
,0.6915188431739807,15,3087,0.7518552541732788
0.9659117460250854,,15,3087,
,0.6778223514556885,16,3280,0.7148838639259338
0.9750429391860962,,16,3280,
,0.6400458812713623,17,3473,0.7548990249633789
0.9804084897041321,,17,3473,
,0.5904615521430969,18,3666,1.2996553182601929
0.9927975535392761,,18,3666,
,0.7286790609359741,19,3859,0.6646076440811157
0.9918959140777588,,19,3859,
,0.7057372331619263,20,4052,0.7545822262763977
0.9862046241760254,,20,4052,
,0.7132790684700012,21,4245,0.7682075500488281
0.9925372004508972,,21,4245,
,0.6953860521316528,22,4438,0.8220944404602051
0.9916626214981079,,22,4438,
,0.7450628280639648,23,4631,0.651634931564331
0.9786310195922852,,23,4631,
,0.7236764430999756,24,4824,0.6765051484107971
0.9769858121871948,,24,4824,
,0.6354725956916809,25,5017,0.7832481861114502
0.9821140766143799,,25,5017,
,0.7738906145095825,26,5210,0.563819169998169
0.9886225461959839,,26,5210,
,0.7626961469650269,27,5403,0.6950021386146545
0.9952763319015503,,27,5403,
,0.7753832340240479,28,5596,0.6593186259269714
0.9970832467079163,,28,5596,
,0.7124945521354675,29,5789,0.7080914974212646
0.9965131878852844,,29,5789,
