epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7688,0.8363,3.98283,1.34283,0.00333,1,0.97055,0.76993,0.65541,2.93747,1.32686,0.00052,0.00052,0.00052
2,17.856,0.68624,2.75974,1.23167,1,0.44377,0.96035,0.71151,0.67178,2.59989,1.51744,0.00104951,0.00104951,0.00104951
3,21.0267,0.72662,2.77573,1.2425,1,0.60973,0.89378,0.62726,0.80757,2.1066,1.81835,0.00156832,0.00156832,0.00156832
4,25.3451,0.78268,2.40537,1.25925,0.92857,0.72222,0.89066,0.56623,0.88244,8.39802,2.60129,0.0019406,0.0019406,0.0019406
5,31.2509,0.77529,2.336,1.26815,0.56744,0.75,0.69189,0.4818,0.96658,1.82289,2.1087,0.0019208,0.0019208,0.0019208
6,37.0313,0.76687,2.32055,1.25252,0.81657,0.98941,0.93691,0.71279,0.94283,1.15114,1.83312,0.001901,0.001901,0.001901
7,43.2973,0.80024,1.96436,1.24069,0.98785,1,0.995,0.83348,0.67247,0.93095,1.45796,0.0018812,0.0018812,0.0018812
8,49.4251,0.72282,1.87766,1.20034,0.99568,1,0.995,0.85612,0.55947,0.81818,1.19716,0.0018614,0.0018614,0.0018614
9,55.6921,0.70105,1.95065,1.16229,0.94728,0.99826,0.98722,0.72509,0.89951,1.17228,1.58141,0.0018416,0.0018416,0.0018416
10,61.9229,0.68862,1.96967,1.18813,0.86805,1,0.9596,0.82633,0.57259,1.30531,1.23328,0.0018218,0.0018218,0.0018218
11,68.2648,0.74827,1.83492,1.22721,0.86224,0.91667,0.91947,0.76771,0.68995,1.24912,1.36814,0.001802,0.001802,0.001802
12,74.3923,0.72199,1.97194,1.20746,0.99929,1,0.995,0.8251,0.69062,1.03923,1.38668,0.0017822,0.0017822,0.0017822
13,80.5873,0.68765,1.61456,1.18114,0.98709,1,0.995,0.87857,0.52455,0.77093,1.14441,0.0017624,0.0017624,0.0017624
14,86.6416,0.69222,1.73861,1.18416,0.9926,1,0.995,0.69375,0.87673,0.92127,1.5204,0.0017426,0.0017426,0.0017426
15,92.9018,0.62375,1.57854,1.12635,0.97277,1,0.99365,0.88169,0.54482,0.87289,1.15367,0.0017228,0.0017228,0.0017228
16,98.9957,0.61979,1.56873,1.11701,0.94071,1,0.97494,0.82479,0.62602,0.83193,1.27541,0.001703,0.001703,0.001703
17,105.016,0.62917,1.42582,1.1561,0.9949,1,0.995,0.88494,0.52676,0.84699,1.19855,0.0016832,0.0016832,0.0016832
18,111.232,0.66011,1.55784,1.15002,0.98115,1,0.995,0.88449,0.45646,1.19828,1.09083,0.0016634,0.0016634,0.0016634
19,117.433,0.64883,1.39701,1.12267,0.96349,1,0.995,0.77604,0.77595,1.03887,1.39075,0.0016436,0.0016436,0.0016436
20,123.639,0.62033,1.39389,1.13422,0.95938,1,0.99446,0.8573,0.63569,0.7961,1.22929,0.0016238,0.0016238,0.0016238
21,129.582,0.69182,1.53443,1.18035,0.99413,1,0.995,0.85714,0.64474,0.85124,1.23917,0.001604,0.001604,0.001604
22,135.808,0.68273,1.41633,1.16323,0.93474,1,0.97022,0.84722,0.56715,0.85839,1.16583,0.0015842,0.0015842,0.0015842
23,142.249,0.57245,1.37933,1.11468,0.99319,1,0.995,0.90441,0.45742,0.6823,1.06882,0.0015644,0.0015644,0.0015644
24,148.381,0.59967,1.22336,1.10555,0.9934,1,0.995,0.88469,0.47321,0.69522,1.09646,0.0015446,0.0015446,0.0015446
25,154.457,0.55061,1.31844,1.08246,0.9419,1,0.99228,0.76068,0.82952,0.87159,1.39658,0.0015248,0.0015248,0.0015248
26,160.59,0.56829,1.41644,1.12996,0.98422,1,0.995,0.8424,0.60207,0.71588,1.27118,0.001505,0.001505,0.001505
27,166.985,0.54083,1.26911,1.0856,0.91278,1,0.96873,0.81206,0.57527,0.84069,1.20939,0.0014852,0.0014852,0.0014852
28,173.473,0.58497,1.38591,1.10827,0.99456,1,0.995,0.84951,0.63537,0.77178,1.25984,0.0014654,0.0014654,0.0014654
29,179.401,0.55873,1.23721,1.09927,0.65286,0.66667,0.59661,0.11573,3.05173,1.42242,5.99104,0.0014456,0.0014456,0.0014456
30,181.867,0.54693,1.33018,1.10345,0.57966,0.58333,0.42205,0.0686,3.23552,1.19925,6.90042,0.0014258,0.0014258,0.0014258
31,184.289,0.54502,1.22178,1.08762,0.99433,1,0.995,0.87093,0.55166,0.73876,1.19841,0.001406,0.001406,0.001406
32,186.719,0.57214,1.63977,1.11209,0.99207,1,0.995,0.84142,0.6332,0.79483,1.27204,0.0013862,0.0013862,0.0013862
33,189.247,0.62839,1.33345,1.1362,0.98465,1,0.995,0.87646,0.50386,0.91328,1.11328,0.0013664,0.0013664,0.0013664
34,191.712,0.56205,1.29484,1.10819,0.98496,1,0.995,0.88628,0.46625,0.88643,1.09668,0.0013466,0.0013466,0.0013466
35,194.282,0.56001,1.22096,1.07,0.96737,1,0.99446,0.88155,0.51122,0.77178,1.1065,0.0013268,0.0013268,0.0013268
36,196.75,0.49606,1.16192,1.06645,0.99344,1,0.995,0.86123,0.71674,0.83076,1.40772,0.001307,0.001307,0.001307
37,199.258,0.52773,1.24685,1.04972,0.94905,0.97222,0.97922,0.71301,0.84442,1.07119,1.42509,0.0012872,0.0012872,0.0012872
38,201.799,0.54191,1.30373,1.11255,0.98155,1,0.995,0.86057,0.50615,0.91047,1.12939,0.0012674,0.0012674,0.0012674
39,204.373,0.54496,1.2042,1.09231,0.99323,1,0.995,0.88745,0.45954,0.85389,1.09596,0.0012476,0.0012476,0.0012476
40,206.863,0.43221,1.07352,1.0261,0.99117,1,0.995,0.88194,0.49643,0.95603,1.12928,0.0012278,0.0012278,0.0012278
41,209.335,0.55959,1.34382,1.1231,0.98997,1,0.995,0.89518,0.46364,1.09459,1.09495,0.001208,0.001208,0.001208
42,211.866,0.5206,1.28503,1.07475,0.99345,1,0.995,0.8656,0.55046,0.91691,1.1782,0.0011882,0.0011882,0.0011882
43,214.474,0.52585,1.19468,1.08154,0.99266,1,0.995,0.88527,0.47369,0.75848,1.09557,0.0011684,0.0011684,0.0011684
44,217.021,0.51679,1.16099,1.08866,0.99484,1,0.995,0.89247,0.44782,0.63182,1.07557,0.0011486,0.0011486,0.0011486
45,219.595,0.47816,1.18796,1.02247,0.9954,1,0.995,0.8787,0.48991,0.63656,1.0939,0.0011288,0.0011288,0.0011288
46,222.238,0.46315,1.30813,1.01704,0.99414,1,0.995,0.85115,0.59214,0.69589,1.19852,0.001109,0.001109,0.001109
47,224.759,0.52685,1.2791,1.051,0.8006,0.94444,0.90925,0.80167,0.52995,0.6463,1.1422,0.0010892,0.0010892,0.0010892
48,227.267,0.50339,1.2275,1.06671,0.97667,1,0.995,0.88123,0.51205,0.79586,1.12882,0.0010694,0.0010694,0.0010694
49,229.86,0.52187,1.19574,1.07203,0.99039,1,0.995,0.90596,0.4068,0.86002,1.02896,0.0010496,0.0010496,0.0010496
50,232.453,0.49469,1.27684,1.06749,0.98943,1,0.995,0.88994,0.42246,0.87952,1.03145,0.0010298,0.0010298,0.0010298
51,235.099,0.47611,1.09353,1.03395,0.98847,1,0.995,0.92319,0.38941,0.64707,1.01297,0.00101,0.00101,0.00101
52,237.91,0.48836,1.10156,1.07731,0.99386,1,0.995,0.91154,0.40944,0.62187,1.02267,0.0009902,0.0009902,0.0009902
53,240.519,0.46076,1.12305,1.01988,0.99793,1,0.995,0.90222,0.42321,0.58361,1.04128,0.0009704,0.0009704,0.0009704
54,243.108,0.45307,2.08432,0.9922,1,0.99272,0.995,0.89788,0.39713,0.60079,1.01751,0.0009506,0.0009506,0.0009506
55,245.745,0.46541,1.12488,1.05996,0.9746,1,0.995,0.88683,0.44061,0.74839,1.06203,0.0009308,0.0009308,0.0009308
56,248.417,0.48543,1.16491,1.05987,0.98259,1,0.995,0.90164,0.42145,0.90867,1.04272,0.000911,0.000911,0.000911
57,251.051,0.41905,1.10145,1.02,0.99394,1,0.995,0.89929,0.43066,0.58754,1.06552,0.0008912,0.0008912,0.0008912
58,253.726,0.49077,1.08995,1.04376,0.99606,1,0.995,0.90157,0.45988,0.50439,1.10348,0.0008714,0.0008714,0.0008714
59,256.415,0.46538,1.10428,1.0119,0.99709,1,0.995,0.90602,0.43554,0.53312,1.04082,0.0008516,0.0008516,0.0008516
60,259.04,0.52774,1.11558,1.10113,0.99179,1,0.995,0.90158,0.49217,0.8548,1.1308,0.0008318,0.0008318,0.0008318
61,261.587,0.50132,1.21887,1.0293,0.9901,1,0.995,0.91094,0.45542,1.00932,1.07767,0.000812,0.000812,0.000812
62,264.3,0.43769,1.07975,1.03839,0.98686,1,0.995,0.91862,0.41038,1.00868,1.01611,0.0007922,0.0007922,0.0007922
63,266.935,0.41954,1.14371,1.00384,0.9955,1,0.995,0.8968,0.43759,0.49808,1.06845,0.0007724,0.0007724,0.0007724
64,269.604,0.46079,1.06952,1.03918,0.99713,1,0.995,0.9297,0.3851,0.38508,0.99812,0.0007526,0.0007526,0.0007526
65,272.392,0.43649,1.08173,1.03627,0.99903,1,0.995,0.91642,0.40264,0.46781,1.02331,0.0007328,0.0007328,0.0007328
66,275.048,0.43834,1.06026,1.0313,0.9979,1,0.995,0.8418,0.56156,0.55428,1.13669,0.000713,0.000713,0.000713
67,277.695,0.38174,1.08713,0.99543,0.99759,1,0.995,0.89017,0.45355,0.51101,1.06816,0.0006932,0.0006932,0.0006932
68,280.383,0.44585,1.1509,1.02834,0.99536,1,0.995,0.9134,0.40212,0.59252,1.02187,0.0006734,0.0006734,0.0006734
69,283.134,0.4309,1.01812,1.04235,0.99373,1,0.995,0.90511,0.40336,0.60127,1.02378,0.0006536,0.0006536,0.0006536
70,285.785,0.45291,1.10294,1.02183,0.99306,1,0.995,0.90215,0.41992,0.70038,1.02177,0.0006338,0.0006338,0.0006338
71,288.431,0.42454,1.07029,0.9846,0.99103,1,0.995,0.89904,0.46829,0.85528,1.06401,0.000614,0.000614,0.000614
72,291.11,0.42151,1.02817,1.01902,0.99278,1,0.995,0.9158,0.43749,0.84235,1.0425,0.0005942,0.0005942,0.0005942
73,293.826,0.42018,0.99132,1.02764,0.99125,1,0.995,0.94443,0.35891,0.71222,0.978,0.0005744,0.0005744,0.0005744
74,296.435,0.40183,1.01932,0.9981,0.99309,1,0.995,0.93212,0.35802,0.67004,0.9628,0.0005546,0.0005546,0.0005546
75,299.066,0.43518,1.03684,1.01128,0.99305,1,0.995,0.91546,0.40016,0.74346,1.00227,0.0005348,0.0005348,0.0005348
76,301.886,0.36413,1.08747,0.95683,0.98985,1,0.995,0.9304,0.36637,0.95975,0.97519,0.000515,0.000515,0.000515
77,304.621,0.39805,1.08037,1.02551,0.98709,1,0.995,0.93116,0.36681,0.89807,0.97283,0.0004952,0.0004952,0.0004952
78,307.343,0.43591,1.05502,1.01575,0.98831,1,0.995,0.91352,0.38487,0.86283,0.9912,0.0004754,0.0004754,0.0004754
79,310.07,0.45689,1.08438,1.04942,0.99539,1,0.995,0.93196,0.36891,0.6391,0.97956,0.0004556,0.0004556,0.0004556
80,312.844,0.40935,1.13259,1.00075,0.98998,1,0.995,0.92661,0.38125,0.75769,0.98914,0.0004358,0.0004358,0.0004358
81,315.704,0.4077,1.04997,1.00908,0.98823,1,0.995,0.9086,0.41766,0.94537,1.02221,0.000416,0.000416,0.000416
82,318.491,0.38902,1.8351,0.96489,0.98924,1,0.995,0.93131,0.37381,0.90012,0.9829,0.0003962,0.0003962,0.0003962
83,321.417,0.41023,1.00587,1.00747,0.98813,1,0.995,0.92091,0.35215,0.90749,0.97261,0.0003764,0.0003764,0.0003764
84,324.167,0.42139,1.12577,1.01674,0.99036,1,0.995,0.92842,0.36436,0.95233,0.97617,0.0003566,0.0003566,0.0003566
85,326.874,0.42964,1.01691,1.06447,0.98856,1,0.995,0.93283,0.3786,0.91913,0.98056,0.0003368,0.0003368,0.0003368
86,329.84,0.34445,1.03419,0.95829,0.98826,1,0.995,0.9138,0.39402,0.784,0.99042,0.000317,0.000317,0.000317
87,332.793,0.36326,1.00457,0.98686,0.98685,1,0.995,0.92865,0.3808,0.72791,0.98009,0.0002972,0.0002972,0.0002972
88,335.719,0.32171,1.04358,0.93495,0.99086,1,0.995,0.92388,0.37085,0.67508,0.97653,0.0002774,0.0002774,0.0002774
89,338.592,0.3596,0.93063,0.9776,0.98718,1,0.995,0.92159,0.3778,0.63114,0.98018,0.0002576,0.0002576,0.0002576
90,341.348,0.42371,1.10315,1.03001,0.98969,1,0.995,0.9097,0.404,0.61794,1.00432,0.0002378,0.0002378,0.0002378
91,357.164,0.27091,1.64342,0.87533,0.9872,1,0.995,0.91728,0.38483,0.66417,0.98579,0.000218,0.000218,0.000218
92,359.841,0.2471,1.69695,0.89586,0.98552,1,0.995,0.93311,0.34577,0.83155,0.95605,0.0001982,0.0001982,0.0001982
93,362.392,0.25795,1.57184,0.88329,0.98782,1,0.995,0.93174,0.34774,0.93208,0.95921,0.0001784,0.0001784,0.0001784
94,365.099,0.2629,1.17371,0.94401,0.98663,1,0.995,0.90579,0.38424,0.91126,0.98944,0.0001586,0.0001586,0.0001586
95,367.827,0.25273,0.98117,0.87439,0.98782,1,0.995,0.89623,0.39743,0.83049,1.00398,0.0001388,0.0001388,0.0001388
96,370.445,0.24215,1.80115,0.88368,0.98715,1,0.995,0.91461,0.38035,0.84771,0.99275,0.000119,0.000119,0.000119
97,373.211,0.23115,0.9731,0.90264,0.98693,1,0.995,0.91286,0.35847,0.85479,0.97003,9.92e-05,9.92e-05,9.92e-05
98,375.896,0.26151,0.98341,0.93177,0.98634,1,0.995,0.9177,0.35594,0.79498,0.96631,7.94e-05,7.94e-05,7.94e-05
