F1/train,F1/val,epoch,step,val_loss
,0.6483567357063293,0,192,0.7445952296257019
0.5703139901161194,,0,192,
,0.6678714156150818,1,385,0.6587347984313965
0.7170222401618958,,1,385,
,0.735323429107666,2,578,0.6362846493721008
0.8376002907752991,,2,578,
,0.7272467613220215,3,771,0.7075017690658569
0.9246907830238342,,3,771,
,0.7863090634346008,4,964,0.5796969532966614
0.9398670196533203,,4,964,
,0.7711617350578308,5,1157,0.6203421354293823
0.9600256681442261,,5,1157,
,0.7864444851875305,6,1350,0.6160593032836914
0.9652807712554932,,6,1350,
,0.7729121446609497,7,1543,0.7010059952735901
0.9672244787216187,,7,1543,
,0.7911458015441895,8,1736,0.6419554948806763
0.9776044487953186,,8,1736,
,0.751459538936615,9,1929,0.8334819674491882
0.9834297299385071,,9,1929,
,0.7803030014038086,10,2122,0.8178008198738098
0.979547917842865,,10,2122,
,0.788718044757843,11,2315,0.7033105492591858
0.987673819065094,,11,2315,
,0.7772043943405151,12,2508,0.8440873622894287
0.9840871691703796,,12,2508,
,0.8068147897720337,13,2701,0.6578752398490906
0.9776094555854797,,13,2701,
,0.7952247262001038,14,2894,0.6754838228225708
0.9853885173797607,,14,2894,
,0.7777780294418335,15,3087,0.7518552541732788
0.9762745499610901,,15,3087,
,0.773753821849823,16,3280,0.7148838639259338
0.9805355072021484,,16,3280,
,0.778382420539856,17,3473,0.7548990249633789
0.9873287677764893,,17,3473,
,0.674079418182373,18,3666,1.2996553182601929
0.991887092590332,,18,3666,
,0.7972573637962341,19,3859,0.6646076440811157
0.9905917644500732,,19,3859,
,0.7914962768554688,20,4052,0.7545822262763977
0.9863748550415039,,20,4052,
,0.7903326749801636,21,4245,0.7682075500488281
0.99058997631073,,21,4245,
,0.7849446535110474,22,4438,0.8220944404602051
0.9902685880661011,,22,4438,
,0.8172349333763123,23,4631,0.651634931564331
0.9831258654594421,,23,4631,
,0.8045995831489563,24,4824,0.6765051484107971
0.9850691556930542,,24,4824,
,0.782920777797699,25,5017,0.7832481861114502
0.9850690364837646,,25,5017,
,0.8364991545677185,26,5210,0.563819169998169
0.9905879497528076,,26,5210,
,0.8173418641090393,27,5403,0.6950021386146545
0.9961069822311401,,27,5403,
,0.8296142816543579,28,5596,0.6593186259269714
0.997728705406189,,28,5596,
,0.8003178238868713,29,5789,0.7080914974212646
0.9961070418357849,,29,5789,
